,New (Shinjitai),Radical,Strokes,Grade,English meaning,Readings
315,守,宀,6,3,protect,"シュ、（ス）、まも-る、も-り
shu, (su), mamo-ru, mo-ri"
316,取,又,8,3,take,"シュ、と-る
shu, to-ru"
317,酒,酉,10,3,alcoholic drink,"シュ、さけ、（さか）
shu, sake, (saka)"
318,受,又,8,3,accept,"ジュ、う-ける、う-かる
ju, u-keru, u-karu"
319,州,巛,6,3,state,"シュウ、す
shū, su"
320,拾,手,9,3,pick up,"シュウ、ジュウ、ひろ-う
shū, jū, hiro-u"
321,終,糸,11,3,end,"シュウ、お-わる、お-える
shū, o-waru, o-eru"
322,習,羽,11,3,learn,"シュウ、なら-う
shū, nara-u"
323,集,隹,12,3,collect,"シュウ、あつ-まる、あつ-める、つど-う
shū, atsu-maru, atsu-meru, tsudo-u"
324,住,人,7,3,dwelling,"ジュウ、す-む、す-まう
jū, su-mu, su-mau"
325,重,里,9,3,heavy,"ジュウ、チョウ、え、おも-い、かさ-ねる、かさ-なる
jū, chō, e, omo-i, kasa-neru, kasa-naru"
326,宿,宀,11,3,inn,"シュク、やど、やど-る、やど-す
shuku, yado, yado-ru, yado-su"
327,所,戶,8,3,place,"ショ、ところ
sho, tokoro"
328,暑,日,12,3,hot,"ショ、あつ-い
sho, atsu-i"
329,助,力,7,3,help,"ジョ、たす-ける、たす-かる、すけ
jo, tasu-keru, tasu-karu, suke"
330,昭,日,9,3,shining,"ショウ
shō"
331,消,水,10,3,extinguish,"ショウ、き-える、け-す
shō, ki-eru, ke-su"
332,商,口,11,3,sell,"ショウ、あきな-う
shō, akina-u"
333,章,立,11,3,chapter,"ショウ
shō"
334,勝,力,12,3,win,"ショウ、か-つ、まさ-る
shō, ka-tsu, masa-ru"
335,乗,丿,9,3,ride,"ジョウ、の-る、の-せる
jō, no-ru, no-seru"
336,植,木,12,3,plant,"ショク、う-える、う-わる
shoku, u-eru, u-waru"
337,申,田,5,3,say,"シン、もう-す
shin, mō-su"
338,身,身,7,3,body,"シン、み
shin, mi"
339,神,示,9,3,god,"シン、ジン、かみ、（かん）、（こう）
shin, jin, kami, (kan), (kō)"
340,真,目,10,3,TRUE,"シン、ま
shin, ma"
341,深,水,11,3,deep,"シン、ふか-い、ふか-まる、ふか-める
shin, fuka-i, fuka-maru, fuka-meru"
342,進,辵,11,3,advance,"シン、すす-む、すす-める
shin, susu-mu, susu-meru"
343,世,一,5,3,world,"セイ、セ、よ
sei, se, yo"
344,整,攴,16,3,put in order,"セイ、ととの-える、ととの-う
sei, totono-eru, totono-u"
345,昔,日,8,3,long ago,"セキ、（シャク）、むかし
seki, (shaku), mukashi"
346,全,入,6,3,whole,"ゼン、まった-く、すべ-て
zen, matta-ku, sube-te"
347,相,目,9,3,mutual,"ソウ、ショウ、あい
sō, shō, ai"
348,送,辵,9,3,send,"ソウ、おく-る
sō, oku-ru"
349,想,心,13,3,concept,"ソウ、（ソ）
sō, (so)"
350,息,心,10,3,breath,"ソク、いき
soku, iki"
351,速,辵,10,3,fast,"ソク、はや-い、はや-める、はや-まる、すみ-やか
soku, haya-i, haya-meru, haya-maru, sumi-yaka"
352,族,方,11,3,tribe,"ゾク
zoku"
353,他,人,5,3,other,"タ、ほか
ta, hoka"
354,打,手,5,3,hit,"ダ、う-つ
da, u-tsu"
355,対,寸,7,3,opposite,"タイ、ツイ
tai, tsui"
356,待,彳,9,3,wait,"タイ、ま-つ
tai, ma-tsu"
357,代,人,5,3,substitute,"ダイ、タイ、か-わる、か-える、よ、しろ
dai, tai, ka-waru, ka-eru, yo, shiro"
358,第,竹,11,3,ordinal number prefix,"ダイ
dai"
359,題,頁,18,3,topic,"ダイ
dai"
360,炭,火,9,3,charcoal,"タン、すみ
tan, sumi"
361,短,矢,12,3,short,"タン、みじか-い
tan, mijika-i"
362,談,言,15,3,discuss,"ダン
dan"
363,着,羊,12,3,wear,"チャク、（ジャク）、き-る、き-せる、つ-く、つ-ける
chaku, (jaku), ki-ru, ki-seru, tsu-ku, tsu-keru"
364,注,水,8,3,pour,"チュウ、そそ-ぐ
chū, soso-gu"
365,柱,木,9,3,pillar,"チュウ、はしら
chū, hashira"
366,丁,一,2,3,ward,"チョウ、テイ
chō, tei"
367,帳,巾,11,3,account book,"チョウ
chō"
368,調,言,15,3,investigate,"チョウ、しら-べる、ととの-う、ととの-える
chō, shira-beru, totono-u, totono-eru"
369,追,辵,9,3,follow,"ツイ、お-う
tsui, o-u"
370,定,宀,8,3,decide,"テイ、ジョウ、さだ-める、さだ-まる、さだ-か
tei, jō, sada-meru, sada-maru, sada-ka"
371,庭,广,10,3,garden,"テイ、にわ
tei, niwa"
372,笛,竹,11,3,flute,"テキ、ふえ
teki, fue"
373,鉄,金,13,3,iron,"テツ
tetsu"
374,転,車,11,3,revolve,"テン、ころ-がる、ころ-げる、ころ-がす、ころ-ぶ
ten, koro-garu, koro-geru, koro-gasu, koro-bu"
375,都,邑,11,3,metropolis,"ト、ツ、みやこ
to, tsu, miyako"
376,度,广,9,3,degrees,"ド、（ト）、（タク）、たび
do, (to), (taku), tabi"
377,投,手,7,3,throw,"トウ、な-げる
tō, na-geru"
378,豆,豆,7,3,beans,"トウ、（ズ）、まめ
tō, (zu), mame"
379,島,山,10,3,island,"トウ、しま
tō, shima"
380,湯,水,12,3,hot water,"トウ、ゆ
tō, yu"
381,登,癶,12,3,climb,"トウ、ト、のぼ-る
tō, to, nobo-ru"
382,等,竹,12,3,class,"トウ、ひと-しい
tō, hito-shii"
383,動,力,11,3,move,"ドウ、うご-く、うご-かす
dō, ugo-ku, ugo-kasu"
384,童,立,12,3,juvenile,"ドウ、わらべ
dō, warabe"
385,農,辰,13,3,farming,"ノウ
nō"
386,波,水,8,3,wave,"ハ、なみ
ha, nami"
387,配,酉,10,3,distribute,"ハイ、くば-る
hai, kuba-ru"
388,倍,人,10,3,double,"バイ
bai"
389,箱,竹,15,3,box,"はこ
hako"
390,畑,田,9,3,farm,"はた、はたけ
hata, hatake"
391,発,癶,9,3,departure,"ハツ、ホツ
hatsu, hotsu"
392,反,又,4,3,anti-,"ハン、（ホン）、（タン）、そ-る、そ-らす
han, (hon), (tan), so-ru, so-rasu"
393,坂,土,7,3,slope,"ハン、さか
han, saka"
394,板,木,8,3,board,"ハン、バン、いた
han, ban, ita"
395,皮,皮,5,3,skin,"ヒ、かわ
hi, kawa"
396,悲,心,12,3,sad,"ヒ、かな-しい、かな-しむ
hi, kana-shii, kana-shimu"
397,美,羊,9,3,beauty,"ビ、うつく-しい
bi, utsuku-shii"
398,鼻,鼻,14,3,nose,"ビ、はな
bi, hana"
399,筆,竹,12,3,writing brush,"ヒツ、ふで
hitsu, fude"
400,氷,水,5,3,ice,"ヒョウ、こおり、ひ
hyō, koori, hi"
401,表,衣,8,3,express,"ヒョウ、おもて、あらわ-す、あらわ-れる
hyō, omote, arawa-su, arawa-reru"
402,秒,禾,9,3,second (part of time),"ビョウ
byō"
403,病,疒,10,3,sick,"ビョウ、（ヘイ）、や-む、やまい
byō, (hei), ya-mu, yamai"
404,品,口,9,3,article,"ヒン、しな
hin, shina"
405,負,貝,9,3,lose,"フ、ま-ける、ま-かす、お-う
fu, ma-keru, ma-kasu, o-u"
406,部,邑,11,3,part,"ブ
bu"
407,服,月,8,3,clothes,"フク
fuku"
408,福,示,13,3,luck,"フク
fuku"
409,物,牛,8,3,thing,"ブツ、モツ、もの
butsu, motsu, mono"
410,平,干,5,3,flat,"ヘイ、ビョウ、たい-ら、ひら
hei, byō, tai-ra, hira"
411,返,辵,7,3,return,"ヘン、かえ-す、かえ-る
hen, kae-su, kae-ru"
412,勉,力,10,3,exertion,"ベン
ben"
413,放,攴,8,3,release,"ホウ、はな-す、はな-つ、はな-れる、ほう-る
hō, hana-su, hana-tsu, hana-reru, hō-ru"
414,味,口,8,3,flavor,"ミ、あじ、あじ-わう
mi, aji, aji-wau"
415,命,口,8,3,fate,"メイ、ミョウ、いのち
mei, myō, inochi"
416,面,面,9,3,face,"メン、おも、おもて、つら
men, omo, omote, tsura"
417,問,口,11,3,question,"モン、と-う、と-い、（とん）
mon, to-u, to-i, (ton)"
418,役,彳,7,3,service,"ヤク、エキ
yaku, eki"
419,薬,艸,16,3,medicine,"ヤク、くすり
yaku, kusuri"
420,由,田,5,3,reason,"ユ、ユウ、（ユイ）、よし
yu, yū, (yui), yoshi"
421,油,水,8,3,oil,"ユ、あぶら
yu, abura"
422,有,月,6,3,have,"ユウ、ウ、あ-る
yū, u, a-ru"
423,遊,辵,12,3,play,"ユウ、（ユ）、あそ-ぶ
yū, (yu), aso-bu"
424,予,豕,4,3,in advance,"ヨ
yo"
425,羊,羊,6,3,sheep,"ヨウ、ひつじ
yō, hitsuji"
426,洋,水,9,3,ocean,"ヨウ
yō"
427,葉,艸,12,3,leaf,"ヨウ、は
yō, ha"
428,陽,阜,12,3,sunshine,"ヨウ
yō"
429,様,木,14,3,formal title,"ヨウ、さま
yō, sama"
430,落,艸,12,3,fall,"ラク、お-ちる、お-とす
raku, o-chiru, o-tosu"
431,流,水,10,3,stream,"リュウ、（ル）、なが-れる、なが-す
ryū, (ru), naga-reru, naga-su"
432,旅,方,10,3,trip,"リョ、たび
ryo, tabi"
433,両,入,6,3,both,"リョウ
ryō"
434,緑,糸,14,3,green,"リョク、（ロク）、みどり
ryoku, (roku), midori"
435,礼,示,5,3,thanks,"レイ、ライ
rei, rai"
436,列,刀,6,3,row,"レツ
retsu"
437,練,糸,14,3,practice,"レン、ね-る
ren, ne-ru"
438,路,足,13,3,road,"ロ、じ
ro, ji"
439,和,口,8,3,peace,"ワ、（オ）、やわ-らぐ、やわ-らげる、なご-む、なご-やか
wa, (o), yawa-ragu, yawa-rageru, nago-mu, nago-yaka"
440,愛,心,13,4,love,"アイ
ai"
441,案,木,10,4,plan,"アン
an"
442,以,人,5,4,by means of,"イ
i"
443,衣,衣,6,4,clothes,"イ、ころも
i, koromo"
444,位,人,7,4,rank,"イ、くらい
i, kurai"
445,囲,囗,7,4,surround,"イ、かこ-む、かこ-う
i, kako-mu, kako-u"
446,胃,肉,9,4,stomach,"イ
i"
447,印,卩,6,4,mark,"イン、しるし
in, shirushi"
448,英,艸,8,4,England,"エイ
ei"
449,栄,木,9,4,prosperity,"エイ、さか-える、は-え、は-える
ei, saka-eru, ha-e, ha-eru"
450,塩,鹵,13,4,salt,"エン、しお
en, shio"
451,億,人,15,4,hundred million,"オク
oku"
452,加,力,5,4,add,"カ、くわ-える、くわ-わる
ka, kuwa-eru, kuwa-waru"
453,果,木,8,4,fruit,"カ、は-たす、は-てる、は-て
ka, ha-tasu, ha-teru, ha-te"
454,貨,貝,11,4,freight,"カ
ka"
455,課,言,15,4,section,"カ
ka"
456,芽,艸,8,4,bud,"ガ、め
ga, me"
457,改,攴,7,4,reformation,"カイ、あらた-める、あらた-まる
kai, arata-meru, arata-maru"
458,械,木,11,4,contraption,"カイ
kai"
459,害,宀,10,4,harm,"ガイ
gai"
460,街,行,12,4,street,"ガイ、（カイ）、まち
gai, (kai), machi"
461,各,口,6,4,each,"カク、おのおの
kaku, onoono"
462,覚,見,12,4,memorize,"カク、おぼ-える、さ-ます、さ-める
kaku, obo-eru, sa-masu, sa-meru"
463,完,宀,7,4,perfect,"カン
kan"
464,官,宀,8,4,government official,"カン
kan"
465,管,竹,14,4,pipe,"カン、くだ
kan, kuda"
466,関,門,14,4,related,"カン、せき、かか-わる
kan, seki, kaka-waru"
467,観,見,18,4,observe,"カン
kan"
468,願,頁,19,4,request,"ガン、ねが-う
gan, nega-u"
469,希,巾,7,4,hope,"キ
ki"
470,季,子,8,4,seasons,"キ
ki"
471,紀,糸,9,4,chronicle,"キ
ki"
472,喜,口,12,4,rejoice,"キ、よろこ-ぶ
ki, yoroko-bu"
473,旗,方,14,4,national flag,"キ、はた
ki, hata"
474,器,口,15,4,container,"キ、うつわ
ki, utsuwa"
475,機,木,16,4,machine,"キ、はた
ki, hata"
476,議,言,20,4,deliberation,"ギ
gi"
477,求,水,7,4,request,"キュウ、もと-める
kyū, moto-meru"
478,泣,水,8,4,cry,"キュウ、な-く
kyū, na-ku"
479,救,攴,11,4,salvation,"キュウ、すく-う
kyū, suku-u"
480,給,糸,12,4,salary,"キュウ
kyū"
481,挙,手,10,4,raise,"キョ、あ-げる、あ-がる
kyo, a-geru, a-garu"
482,漁,水,14,4,fishing,"ギョ、リョウ
gyo, ryō"
483,共,八,6,4,together,"キョウ、とも
kyō, tomo"
484,協,十,8,4,cooperation,"キョウ
kyō"
485,鏡,金,19,4,mirror,"キョウ、かがみ
kyō, kagami"
486,競,立,20,4,compete,"キョウ、ケイ、きそ-う、せ-る
kyō, kei, kiso-u, se-ru"
487,極,木,12,4,poles,"キョク、ゴク、きわ-める、きわ-まる、きわ-み
kyoku, goku, kiwa-meru, kiwa-maru, kiwa-mi"
488,訓,言,10,4,instruction,"クン
kun"
489,軍,車,9,4,army,"グン
gun"
490,郡,邑,10,4,county,"グン
gun"
491,径,彳,8,4,diameter,"ケイ
kei"
492,型,土,9,4,model,"ケイ、かた
kei, kata"
493,景,日,12,4,scenery,"ケイ
kei"
494,芸,艸,7,4,art,"ゲイ
gei"
495,欠,缶,4,4,lack,"ケツ、か-ける、か-く
ketsu, ka-keru, ka-ku"
496,結,糸,12,4,tie,"ケツ、むす-ぶ、ゆ-う、ゆ-わえる
ketsu, musu-bu, yu-u, yu-waeru"
497,建,廴,9,4,build,"ケン、（コン）、た-てる、た-つ
ken, (kon), ta-teru, ta-tsu"
498,健,人,11,4,healthy,"ケン、すこ-やか
ken, suko-yaka"
499,験,馬,18,4,test,"ケン、（ゲン）
ken, (gen)"
500,固,囗,8,4,hard,"コ、かた-める、かた-まる、かた-い
ko, kata-meru, kata-maru, kata-i"
501,功,力,5,4,achievement,"コウ、（ク）
kō, (ku)"
502,好,女,6,4,like,"コウ、この-む、す-く
kō, kono-mu, su-ku"
503,候,人,10,4,climate,"コウ、そうろう
kō, sōrō"
504,航,舟,10,4,cruise,"コウ
kō"
505,康,广,11,4,health,"コウ
kō"
506,告,口,7,4,tell,"コク、つ-げる
koku, tsu-geru"
507,差,工,10,4,distinction,"サ、さ-す
sa, sa-su"
508,菜,艸,11,4,vegetable,"サイ、な
sai, na"
509,最,曰,12,4,most,"サイ、もっと-も
sai, motto-mo"
510,材,木,7,4,lumber,"ザイ
zai"
511,昨,日,9,4,previous,"サク
saku"
512,札,木,5,4,tag,"サツ、ふだ
satsu, fuda"
513,刷,刀,8,4,printing,"サツ、す-る
satsu, su-ru"
514,殺,殳,10,4,kill,"サツ、（サイ）、（セツ）、ころ-す
satsu, (sai), (setsu), koro-su"
515,察,宀,14,4,guess,"サツ
satsu"
516,参,厶,8,4,participate,"サン、まい-る
san, mai-ru"
517,産,生,11,4,give birth,"サン、う-む、う-まれる、うぶ
san, u-mu, u-mareru, ubu"
518,散,攴,12,4,scatter,"サン、ち-る、ち-らす、ち-らかす、ち-らかる
san, chi-ru, chi-rasu, chi-rakasu, chi-rakaru"
519,残,歹,10,4,remainder,"ザン、のこ-る、のこ-す
zan, noko-ru, noko-su"
520,士,士,3,4,gentleman,"シ
shi"
521,氏,氏,4,4,family name,"シ、うじ
shi, uji"
522,史,口,5,4,history,"シ
shi"
523,司,口,5,4,director,"シ
shi"
524,試,言,13,4,test,"シ、こころ-みる、ため-す
shi, kokoro-miru, tame-su"
525,児,儿,7,4,child,"ジ、（ニ）
ji, (ni)"
526,治,水,8,4,govern,"ジ、チ、おさ-める、おさ-まる、なお-る、なお-す
ji, chi, osa-meru, osa-maru, nao-ru, nao-su"
527,辞,辛,13,4,resign,"ジ、や-める
ji, ya-meru"
528,失,大,5,4,lose,"シツ、うしな-う
shitsu, ushina-u"
529,借,人,10,4,borrow,"シャク、か-りる
shaku, ka-riru"
530,種,禾,14,4,kind,"シュ、たね
shu, tane"
531,周,口,8,4,circumference,"シュウ、まわ-り
shū, mawa-ri"
532,祝,示,9,4,celebrate,"シュク、（シュウ）、いわ-う
shuku, (shū), iwa-u"
533,順,頁,12,4,obey,"ジュン
jun"
534,初,刀,7,4,first,"ショ、はじ-め、はじ-めて、はつ、うい、そ-める
sho, haji-me, haji-mete, hatsu, ui, so-meru"
535,松,木,8,4,pine,"ショウ、まつ
shō, matsu"
536,笑,竹,10,4,laugh,"ショウ、わら-う、え-む
shō, wara-u, e-mu"
537,唱,口,11,4,chant,"ショウ、とな-える
shō, tona-eru"
538,焼,火,12,4,bake,"ショウ、や-く、や-ける
shō, ya-ku, ya-keru"
539,象,豕,12,4,elephant,"ショウ、ゾウ
shō, zō"
540,照,火,13,4,illuminate,"ショウ、て-る、て-らす、て-れる
shō, te-ru, te-rasu, te-reru"
541,賞,貝,15,4,prize,"ショウ
shō"
542,臣,臣,7,4,retainer,"シン、ジン
shin, jin"
543,信,人,9,4,trust,"シン
shin"
544,成,戈,6,4,become,"セイ、（ジョウ）、な-る、な-す
sei, (jō), na-ru, na-su"
545,省,目,9,4,government ministry,"セイ、ショウ、かえり-みる、はぶ-く
sei, shō, kaeri-miru, habu-ku"
546,清,水,11,4,pure,"セイ、（ショウ）、きよ-い、きよ-まる、きよ-める
sei, (shō), kiyo-i, kiyo-maru, kiyo-meru"
547,静,靑,14,4,quiet,"セイ、（ジョウ）、しず、しず-か、しず-まる、しず-める
sei, (jō), shizu, shizu-ka, shizu-maru, shizu-meru"
548,席,巾,10,4,seat,"セキ
seki"
549,積,禾,16,4,accumulate,"セキ、つ-む、つ-もる
seki, tsu-mu, tsu-moru"
550,折,手,7,4,fold,"セツ、お-る、おり、お-れる
setsu, o-ru, ori, o-reru"
551,節,竹,13,4,node,"セツ、（セチ）、ふし
setsu, (sechi), fushi"
552,説,言,14,4,theory,"セツ、（ゼイ）、と-く
setsu, (zei), to-ku"
553,浅,水,9,4,shallow,"セン、あさ-い
sen, asa-i"
554,戦,戈,13,4,war,"セン、いくさ、たたか-う
sen, ikusa, tataka-u"
555,選,辵,15,4,choose,"セン、えら-ぶ
sen, era-bu"
556,然,火,12,4,so,"ゼン、ネン
zen, nen"
557,争,爪,6,4,conflict,"ソウ、あらそ-う
sō, araso-u"
558,倉,人,10,4,warehouse,"ソウ、くら
sō, kura"
559,巣,巛,11,4,nest,"ソウ、す
sō, su"
560,束,木,7,4,bundle,"ソク、たば
soku, taba"
561,側,人,11,4,side,"ソク、がわ
soku, gawa"
562,続,糸,13,4,continue,"ゾク、つづ-く、つづ-ける
zoku, tsuzu-ku, tsuzu-keru"
563,卒,十,8,4,graduate,"ソツ
sotsu"
564,孫,子,10,4,grandchild,"ソン、まご
son, mago"
565,帯,巾,10,4,sash,"タイ、お-びる、おび
tai, o-biru, obi"
566,隊,阜,12,4,group,"タイ
tai"
567,達,辵,12,4,attain,"タツ
tatsu"
568,単,口,9,4,simple,"タン
tan"
569,置,网,13,4,put,"チ、お-く
chi, o-ku"
570,仲,人,6,4,relationship,"チュウ、なか
chū, naka"
571,貯,貝,12,4,savings,"チョ
cho"
572,兆,儿,6,4,"portent, trillion","チョウ、きざ-す、きざ-し
chō, kiza-su, kiza-shi"
573,腸,肉,13,4,intestines,"チョウ
chō"
574,低,人,7,4,low,"テイ、ひく-い、ひく-める、ひく-まる
tei, hiku-i, hiku-meru, hiku-maru"
575,底,广,8,4,bottom,"テイ、そこ
tei, soko"
576,停,人,11,4,halt,"テイ
tei"
577,的,白,8,4,target,"テキ、まと
teki, mato"
578,典,八,8,4,code,"テン
ten"
579,伝,人,6,4,transmit,"デン、つた-わる、つた-える、つた-う
den, tsuta-waru, tsuta-eru, tsuta-u"
580,徒,彳,10,4,junior,"ト
to"
581,努,力,7,4,toil,"ド、つと-める
do, tsuto-meru"
582,灯,火,6,4,lamp,"トウ、ひ
tō, hi"
583,堂,土,11,4,public chamber,"ドウ
dō"
584,働,人,13,4,work,"ドウ、はたら-く
dō, hatara-ku"
585,特,牛,10,4,special,"トク
toku"
586,得,彳,11,4,acquire,"トク、え-る、う-る
toku, e-ru, u-ru"
587,毒,毋,8,4,poison,"ドク
doku"
588,熱,火,15,4,heat,"ネツ、あつ-い
netsu, atsu-i"
589,念,心,8,4,thought,"ネン
nen"
590,敗,攴,11,4,failure,"ハイ、やぶ-れる
hai, yabu-reru"
591,梅,木,10,4,ume (Japanese apricot),"バイ、うめ
bai, ume"
592,博,十,12,4,Dr.,"ハク、（バク）
haku, (baku)"
593,飯,食,12,4,meal,"ハン、めし
han, meshi"
594,飛,飛,9,4,fly,"ヒ、と-ぶ、と-ばす
hi, to-bu, to-basu"
595,費,貝,12,4,expense,"ヒ、つい-やす、つい-える
hi, tsui-yasu, tsui-eru"
596,必,心,5,4,without fail,"ヒツ、かなら-ず
hitsu, kanara-zu"
597,票,示,11,4,ballot,"ヒョウ
hyō"
598,標,木,15,4,signpost,"ヒョウ
hyō"
599,不,一,4,4,non-,"フ、ブ
fu, bu"
600,夫,大,4,4,husband,"フ、（フウ）、おっと
fu, (fū), otto"
601,付,人,5,4,attach,"フ、つ-ける、つ-く
fu, tsu-keru, tsu-ku"
602,府,广,8,4,urban prefecture,"フ
fu"
603,副,刀,11,4,vice,"フク
fuku"
604,粉,米,10,4,flour,"フン、こ、こな
fun, ko, kona"
605,兵,八,7,4,soldier,"ヘイ、ヒョウ
hei, hyō"
606,別,刀,7,4,separate,"ベツ、わか-れる
betsu, waka-reru"
607,辺,辵,5,4,environs,"ヘン、あた-り、べ
hen, ata-ri, be"
608,変,言,9,4,change,"ヘン、か-わる、か-える
hen, ka-waru, ka-eru"
609,便,人,9,4,convenience,"ベン、ビン、たよ-り
ben, bin, tayo-ri"
610,包,勹,5,4,wrap,"ホウ、つつ-む
hō, tsutsu-mu"
611,法,水,8,4,method,"ホウ、（ハッ）、（ホッ）
hō, (ha'), (ho')"
612,望,月,11,4,hope,"ボウ、モウ、のぞ-む
bō, mō, nozo-mu"
613,牧,牛,8,4,breed,"ボク、まき
boku, maki"
614,末,木,5,4,end,"マツ、バツ、すえ
matsu, batsu, sue"
615,満,水,12,4,full,"マン、み-ちる、み-たす
man, mi-chiru, mi-tasu"
616,未,木,5,4,not yet,"ミ
mi"
617,脈,肉,10,4,vein,"ミャク
myaku"
618,民,氏,5,4,people,"ミン、たみ
min, tami"
619,無,火,12,4,nothing,"ム、ブ、な-い
mu, bu, na-i"
620,約,糸,9,4,promise,"ヤク
yaku"
621,勇,力,9,4,courage,"ユウ、いさ-む
yū, isa-mu"
622,要,襾,9,4,need,"ヨウ、かなめ、い-る
yō, kaname, i-ru"
623,養,食,15,4,foster,"ヨウ、やしな-う
yō, yashina-u"
624,浴,水,10,4,bathe,"ヨク、あ-びる、あ-びせる
yoku, a-biru, a-biseru"
625,利,刀,7,4,profit,"リ、き-く
ri, ki-ku"
626,陸,阜,11,4,land,"リク
riku"
627,良,艮,7,4,good,"リョウ、よ-い
ryō, yo-i"
628,料,斗,10,4,fee,"リョウ
ryō"
629,量,里,12,4,quantity,"リョウ、はか-る
ryō, haka-ru"
630,輪,車,15,4,wheel,"リン、わ
rin, wa"
631,類,頁,18,4,sort,"ルイ、たぐ-い
rui, tagu-i"
632,令,人,5,4,orders,"レイ
rei"
633,冷,冫,7,4,cool,"レイ、つめ-たい、ひ-える、ひ-や、ひ-やす、ひ-やかす、さ-める、さ-ます
rei, tsume-tai, hi-eru, hi-ya, hi-yasu, hi-yakasu, sa-meru, sa-masu"
634,例,人,8,4,example,"レイ、たと-える
rei, tato-eru"
635,歴,止,14,4,curriculum,"レキ
reki"
636,連,辵,10,4,take along,"レン、つら-なる、つら-ねる、つ-れる
ren, tsura-naru, tsura-neru, tsu-reru"
637,老,老,6,4,old man,"ロウ、お-いる、ふ-ける
rō, o-iru, fu-keru"
638,労,力,7,4,labour,"ロウ
rō"
639,録,金,16,4,record,"ロク
roku"
640,圧,土,5,5,pressure,"アツ
atsu"
641,移,禾,11,5,shift,"イ、うつ-る、うつ-す
i, utsu-ru, utsu-su"
642,因,囗,6,5,cause,"イン、よ-る
in, yo-ru"
643,永,水,5,5,eternity,"エイ、なが-い
ei, naga-i"
644,営,火,12,5,manage,"エイ、いとな-む
ei, itona-mu"
645,衛,行,16,5,defense,"エイ
ei"
646,易,日,8,5,easy,"エキ、イ、やさ-しい
eki, i, yasa-shii"
647,益,皿,10,5,benefit,"エキ、（ヤク）
eki, (yaku)"
648,液,水,11,5,fluid,"エキ
eki"
649,演,水,14,5,perform,"エン
en"
650,応,心,7,5,respond,"オウ、こた-える
ō, kota-eru"
651,往,彳,8,5,outward journey,"オウ
ō"
652,桜,木,10,5,cherry tree,"オウ、さくら
ō, sakura"
653,恩,心,10,5,grace,"オン
on"
654,可,口,5,5,possible,"カ
ka"
